Entity,Code,Year,Renewables (TWh – sub method)
Argentina,ARG,2013,123.752
Argentina,ARG,2014,125.582
Argentina,ARG,2015,128.619
Argentina,ARG,2016,118.891
Argentina,ARG,2017,130.171
Argentina,ARG,2018,131.431
Argentina,ARG,2019,130.395
Australia,AUS,1965,22.183
Australia,AUS,1966,21.192
Australia,AUS,1967,21.933
Australia,AUS,1968,22.868
Australia,AUS,1969,24.903
Australia,AUS,1970,28.977
Australia,AUS,1971,32.696
Australia,AUS,1972,32.87
Australia,AUS,1973,35.066
Australia,AUS,1974,39.73
Australia,AUS,1975,42.713
Australia,AUS,1976,40.661
Australia,AUS,1977,38.814
Australia,AUS,1978,41.89
Australia,AUS,1979,40.734
Australia,AUS,1980,38.477
Australia,AUS,1981,39.64
Australia,AUS,1982,36.907
Australia,AUS,1983,34.874
Australia,AUS,1984,37.686
Australia,AUS,1985,39.99
Australia,AUS,1986,40.238
Australia,AUS,1987,39.122
Australia,AUS,1988,41.848
Australia,AUS,1989,41.844
Australia,AUS,1990,43.108
Australia,AUS,1991,45.496
Australia,AUS,1992,46.177
Australia,AUS,1993,47.427
Australia,AUS,1994,46.859
Australia,AUS,1995,45.791
Australia,AUS,1996,47.077
Australia,AUS,1997,47.188
Australia,AUS,1998,47.035
Australia,AUS,1999,48.607
Australia,AUS,2000,48.713
Australia,AUS,2001,47.639
Australia,AUS,2002,49.228
Australia,AUS,2003,50.863
Australia,AUS,2004,52.434
Australia,AUS,2005,55.814
Australia,AUS,2006,57.445
Australia,AUS,2007,57.503
Australia,AUS,2008,59.095
Australia,AUS,2009,65.578
Australia,AUS,2010,76.914
Australia,AUS,2011,99.578
Australia,AUS,2012,95.977
Australia,AUS,2013,108.028
Australia,AUS,2014,99.736
Australia,AUS,2015,105.449
Australia,AUS,2016,117.766
Australia,AUS,2017,112.287
Australia,AUS,2018,139.126
Australia,AUS,2019,152.53
Austria,AUT,1965,44.675
Austria,AUT,1966,48.142
Austria,AUT,1967,49.161
Austria,AUT,1968,50.514
Austria,AUT,1969,46.439
Austria,AUT,1970,59.138
Austria,AUT,1971,46.723
Austria,AUT,1972,48.021
Austria,AUT,1973,53.359
Austria,AUT,1974,63.089
Austria,AUT,1975,66.098
Austria,AUT,1976,57.127
Austria,AUT,1977,69.224
Austria,AUT,1978,69.28
Austria,AUT,1979,78.047
Austria,AUT,1980,80.861
Austria,AUT,1981,85.687
Austria,AUT,1982,85.823
Austria,AUT,1983,85.018
Austria,AUT,1984,74.582
Austria,AUT,1985,85.487
Austria,AUT,1986,89.421
Austria,AUT,1987,100.816
Austria,AUT,1988,100.975
Austria,AUT,1989,100.519
Austria,AUT,1990,90.772
Austria,AUT,1991,90.83
Austria,AUT,1992,100.584
Austria,AUT,1993,105.848
Austria,AUT,1994,102.627
Austria,AUT,1995,108.26
Austria,AUT,1996,99.605
Austria,AUT,1997,105.26
Austria,AUT,1998,108.637
Austria,AUT,1999,117.82
Austria,AUT,2000,120.848
Austria,AUT,2001,116.965
Austria,AUT,2002,115.285
Austria,AUT,2003,96.435
Austria,AUT,2004,107.89
Austria,AUT,2005,110.92
Austria,AUT,2006,112.103
Austria,AUT,2007,118.654
Austria,AUT,2008,122.769
Austria,AUT,2009,129.91
Austria,AUT,2010,123.269
Austria,AUT,2011,111.923
Austria,AUT,2012,137.866
Austria,AUT,2013,134.302
Austria,AUT,2014,133.692
Austria,AUT,2015,127.49
Austria,AUT,2016,134.34
Austria,AUT,2017,133.242
Austria,AUT,2018,130.023
Austria,AUT,2019,140.411
Azerbaijan,AZE,1985,3.646
Azerbaijan,AZE,1986,2.234
Azerbaijan,AZE,1987,2.234
Azerbaijan,AZE,1988,1.94
Azerbaijan,AZE,1989,1.94
Azerbaijan,AZE,1990,4.606
Azerbaijan,AZE,1991,4.887
Azerbaijan,AZE,1992,4.854
Azerbaijan,AZE,1993,6.739
Azerbaijan,AZE,1994,5.083
Azerbaijan,AZE,1995,4.322
Azerbaijan,AZE,1996,4.269
Azerbaijan,AZE,1997,4.756
Azerbaijan,AZE,1998,5.419
Azerbaijan,AZE,1999,4.183
Azerbaijan,AZE,2000,4.261
Azerbaijan,AZE,2001,3.59
Azerbaijan,AZE,2002,5.539
Azerbaijan,AZE,2003,6.729
Azerbaijan,AZE,2004,7.458
Azerbaijan,AZE,2005,8.095
Azerbaijan,AZE,2006,6.731
Azerbaijan,AZE,2007,6.279
Azerbaijan,AZE,2008,5.892
Azerbaijan,AZE,2009,6.062
Azerbaijan,AZE,2010,8.987
Azerbaijan,AZE,2011,6.934
Azerbaijan,AZE,2012,4.69
Azerbaijan,AZE,2013,3.988
Azerbaijan,AZE,2014,3.542
Azerbaijan,AZE,2015,4.396
Azerbaijan,AZE,2016,5.293
Azerbaijan,AZE,2017,4.727
Azerbaijan,AZE,2018,4.897
Azerbaijan,AZE,2019,4.517
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0.486
Bangladesh,BGD,1973,0.919
Bangladesh,BGD,1974,0.675
Bangladesh,BGD,1975,1.211
Bangladesh,BGD,1976,1.372
Bangladesh,BGD,1977,1.214
Bangladesh,BGD,1978,1.406
Bangladesh,BGD,1979,1.631
Bangladesh,BGD,1980,1.619
Bangladesh,BGD,1981,1.736
Bangladesh,BGD,1982,1.453
Bangladesh,BGD,1983,1.839
Bangladesh,BGD,1984,2.492
Bangladesh,BGD,1985,2.053
Bangladesh,BGD,1986,1.25
Bangladesh,BGD,1987,1.436
Bangladesh,BGD,1988,1.875
Bangladesh,BGD,1989,2.556
Bangladesh,BGD,1990,2.456
Bangladesh,BGD,1991,2.328
Bangladesh,BGD,1992,2.211
Bangladesh,BGD,1993,1.689
Bangladesh,BGD,1994,2.353
Bangladesh,BGD,1995,1.033
Bangladesh,BGD,1996,2.053
Bangladesh,BGD,1997,1.997
Bangladesh,BGD,1998,2.403
Bangladesh,BGD,1999,2.314
Bangladesh,BGD,2000,2.081
Bangladesh,BGD,2001,2.74
Bangladesh,BGD,2002,2.054
Bangladesh,BGD,2003,2.043
Bangladesh,BGD,2004,2.033
Bangladesh,BGD,2005,2.024
Bangladesh,BGD,2006,2.021
Bangladesh,BGD,2007,2.018
Bangladesh,BGD,2008,2.556
Bangladesh,BGD,2009,1.176
Bangladesh,BGD,2010,2.035
Bangladesh,BGD,2011,2.432
Bangladesh,BGD,2012,2.259
Bangladesh,BGD,2013,2.222
Bangladesh,BGD,2014,1.895
Bangladesh,BGD,2015,2.805
Bangladesh,BGD,2016,2.792
Bangladesh,BGD,2017,3.292
Bangladesh,BGD,2018,2.923
Bangladesh,BGD,2019,3.111
Belarus,BLR,1985,0.056
Belarus,BLR,1986,0.056
Belarus,BLR,1987,0.056
Belarus,BLR,1988,0.056
Belarus,BLR,1989,0.056
Belarus,BLR,1990,0.056
Belarus,BLR,1991,0.05
Belarus,BLR,1992,0.047
Belarus,BLR,1993,0.053
Belarus,BLR,1994,0.053
Belarus,BLR,1995,0.056
Belarus,BLR,1996,0.044
Belarus,BLR,1997,0.058
Belarus,BLR,1998,0.078
Belarus,BLR,1999,0.053
Belarus,BLR,2000,0.075
Belarus,BLR,2001,0.083
Belarus,BLR,2002,0.08
Belarus,BLR,2003,0.076
Belarus,BLR,2004,0.092
Belarus,BLR,2005,0.1
Belarus,BLR,2006,0.102
Belarus,BLR,2007,0.133
Belarus,BLR,2008,0.193
Belarus,BLR,2009,0.278
Belarus,BLR,2010,0.339
Belarus,BLR,2011,0.365
Belarus,BLR,2012,0.446
Belarus,BLR,2013,0.585
Belarus,BLR,2014,0.537
Belarus,BLR,2015,0.64
Belarus,BLR,2016,0.842
Belarus,BLR,2017,1.743
Belarus,BLR,2018,1.615
Belarus,BLR,2019,1.644
Belgium,BEL,1965,0.756
Belgium,BEL,1966,0.831
Belgium,BEL,1967,0.661
Belgium,BEL,1968,0.678
Belgium,BEL,1969,0.639
Belgium,BEL,1970,0.683
Belgium,BEL,1971,0.372
Belgium,BEL,1972,0.5
Belgium,BEL,1973,0.797
Belgium,BEL,1974,0.967
Belgium,BEL,1975,0.739
Belgium,BEL,1976,0.461
Belgium,BEL,1977,1.308
Belgium,BEL,1978,1.342
Belgium,BEL,1979,1.525
Belgium,BEL,1980,1.606
Belgium,BEL,1981,1.867
Belgium,BEL,1982,1.053
Belgium,BEL,1983,0.994
Belgium,BEL,1984,1.042
Belgium,BEL,1985,0.944
Belgium,BEL,1986,1.283
Belgium,BEL,1987,1.603
Belgium,BEL,1988,1.519
Belgium,BEL,1989,1.397
Belgium,BEL,1990,1.542
Belgium,BEL,1991,1.489
Belgium,BEL,1992,1.714
Belgium,BEL,1993,1.408
Belgium,BEL,1994,1.667
Belgium,BEL,1995,1.856
Belgium,BEL,1996,1.558
Belgium,BEL,1997,1.633
Belgium,BEL,1998,2.108
Belgium,BEL,1999,2.361
Belgium,BEL,2000,2.9
Belgium,BEL,2001,2.967
Belgium,BEL,2002,3.12
Belgium,BEL,2003,3.247
Belgium,BEL,2004,4.052
Belgium,BEL,2005,5.665
Belgium,BEL,2006,7.891
Belgium,BEL,2007,9.26
Belgium,BEL,2008,11.662
Belgium,BEL,2009,15.807
Belgium,BEL,2010,21.105
Belgium,BEL,2011,25.833
Belgium,BEL,2012,31.012
Belgium,BEL,2013,33.915
Belgium,BEL,2014,36.051
Belgium,BEL,2015,39.737
Belgium,BEL,2016,41.174
Belgium,BEL,2017,45.183
Belgium,BEL,2018,48.096
Belgium,BEL,2019,52.273
Brazil,BRA,1965,70.875
Brazil,BRA,1966,77.517
Brazil,BRA,1967,81.081
Brazil,BRA,1968,84.861
Brazil,BRA,1969,90.811
Brazil,BRA,1970,111.988
Brazil,BRA,1971,121.757
Brazil,BRA,1972,142.771
Brazil,BRA,1973,162.891
Brazil,BRA,1974,184.623
Brazil,BRA,1975,203.206
Brazil,BRA,1976,232.715
Brazil,BRA,1977,262.769
Brazil,BRA,1978,289.106
Brazil,BRA,1979,328.767
Brazil,BRA,1980,363.091
Brazil,BRA,1981,368.441
Brazil,BRA,1982,398.085
Brazil,BRA,1983,429.054
Brazil,BRA,1984,470.68
Brazil,BRA,1985,504.006
Brazil,BRA,1986,515.592
Brazil,BRA,1987,525.461
Brazil,BRA,1988,562.314
Brazil,BRA,1989,578.037
Brazil,BRA,1990,653.004
Brazil,BRA,1991,687.05
Brazil,BRA,1992,703.554
Brazil,BRA,1993,739.241
Brazil,BRA,1994,766.412
Brazil,BRA,1995,800.724
Brazil,BRA,1996,840.185
Brazil,BRA,1997,875.793
Brazil,BRA,1998,909.381
Brazil,BRA,1999,916.226
Brazil,BRA,2000,935.077
Brazil,BRA,2001,828.261
Brazil,BRA,2002,885.029
Brazil,BRA,2003,933.972
Brazil,BRA,2004,979.037
Brazil,BRA,2005,1027.529
Brazil,BRA,2006,1050.047
Brazil,BRA,2007,1150.505
Brazil,BRA,2008,1174.049
Brazil,BRA,2009,1245.798
Brazil,BRA,2010,1307.614
Brazil,BRA,2011,1354.018
Brazil,BRA,2012,1319.12
Brazil,BRA,2013,1292.25
Brazil,BRA,2014,1288.307
Brazil,BRA,2015,1312.795
Brazil,BRA,2016,1372.834
Brazil,BRA,2017,1378.947
Brazil,BRA,2018,1476.014
Brazil,BRA,2019,1550.999
Bulgaria,BGR,1965,5.556
Bulgaria,BGR,1966,5.583
Bulgaria,BGR,1967,5.617
Bulgaria,BGR,1968,3.625
Bulgaria,BGR,1969,5.108
Bulgaria,BGR,1970,5.978
Bulgaria,BGR,1971,6.028
Bulgaria,BGR,1972,5.819
Bulgaria,BGR,1973,7.139
Bulgaria,BGR,1974,5.778
Bulgaria,BGR,1975,6.814
Bulgaria,BGR,1976,8.206
Bulgaria,BGR,1977,9.803
Bulgaria,BGR,1978,8.081
Bulgaria,BGR,1979,9.197
Bulgaria,BGR,1980,10.314
Bulgaria,BGR,1981,10.05
Bulgaria,BGR,1982,8.472
Bulgaria,BGR,1983,9.314
Bulgaria,BGR,1984,9.056
Bulgaria,BGR,1985,6.214
Bulgaria,BGR,1986,6.461
Bulgaria,BGR,1987,7.047
Bulgaria,BGR,1988,7.211
Bulgaria,BGR,1989,7.475
Bulgaria,BGR,1990,5.217
Bulgaria,BGR,1991,6.781
Bulgaria,BGR,1992,5.731
Bulgaria,BGR,1993,5.394
Bulgaria,BGR,1994,4.078
Bulgaria,BGR,1995,6.428
Bulgaria,BGR,1996,8.108
Bulgaria,BGR,1997,7.65
Bulgaria,BGR,1998,8.603
Bulgaria,BGR,1999,7.647
Bulgaria,BGR,2000,7.425
Bulgaria,BGR,2001,4.794
Bulgaria,BGR,2002,6.016
Bulgaria,BGR,2003,8.252
Bulgaria,BGR,2004,8.579
Bulgaria,BGR,2005,11.679
Bulgaria,BGR,2006,11.381
Bulgaria,BGR,2007,7.759
Bulgaria,BGR,2008,7.819
Bulgaria,BGR,2009,9.754
Bulgaria,BGR,2010,15.091
Bulgaria,BGR,2011,10.197
Bulgaria,BGR,2012,13.721
Bulgaria,BGR,2013,17.734
Bulgaria,BGR,2014,18.804
Bulgaria,BGR,2015,22.176
Bulgaria,BGR,2016,17.872
Bulgaria,BGR,2017,15.328
Bulgaria,BGR,2018,23.114
Bulgaria,BGR,2019,19.101
Canada,CAN,1965,328.022
Canada,CAN,1966,363.889
Canada,CAN,1967,372.011
Canada,CAN,1968,378.334
Canada,CAN,1969,418.439
Canada,CAN,1970,439.27
Canada,CAN,1971,451.281
Canada,CAN,1972,504.553
Canada,CAN,1973,540.706
Canada,CAN,1974,585.187
Canada,CAN,1975,562.417
Canada,CAN,1976,592.767
Canada,CAN,1977,614.489
Canada,CAN,1978,656.628
Canada,CAN,1979,681.851
Canada,CAN,1980,701.245
Canada,CAN,1981,744.203
Canada,CAN,1982,722.039
Canada,CAN,1983,744.548
Canada,CAN,1984,801.278
Canada,CAN,1985,848.12
Canada,CAN,1986,868.059
Canada,CAN,1987,884.776
Canada,CAN,1988,860.892
Canada,CAN,1989,816.467
Canada,CAN,1990,832.332
Canada,CAN,1991,864.617
Canada,CAN,1992,888.058
Canada,CAN,1993,908.589
Canada,CAN,1994,926.805
Canada,CAN,1995,947.946
Canada,CAN,1996,1006.08
Canada,CAN,1997,991.436
Canada,CAN,1998,944.249
Canada,CAN,1999,983.665
Canada,CAN,2000,1016.55
Canada,CAN,2001,942.567
Canada,CAN,2002,986.408
Canada,CAN,2003,943.363
Canada,CAN,2004,945.185
Canada,CAN,2005,1002.464
Canada,CAN,2006,978.838
Canada,CAN,2007,1014.583
Canada,CAN,2008,1036.06
Canada,CAN,2009,1017.943
Canada,CAN,2010,976.253
Canada,CAN,2011,1043.347
Canada,CAN,2012,1056.945
Canada,CAN,2013,1083.888
Canada,CAN,2014,1057.682
Canada,CAN,2015,1088.454
Canada,CAN,2016,1104.927
Canada,CAN,2017,1123.138
Canada,CAN,2018,1098.915
Canada,CAN,2019,1091.247
Chile,CHL,1965,10.983
Chile,CHL,1966,11.578
Chile,CHL,1967,11.819
Chile,CHL,1968,9.903
Chile,CHL,1969,11.178
Chile,CHL,1970,11.964
Chile,CHL,1971,13.542
Chile,CHL,1972,16.075
Chile,CHL,1973,15.683
Chile,CHL,1974,17.806
Chile,CHL,1975,17.886
Chile,CHL,1976,18.533
Chile,CHL,1977,19.581
Chile,CHL,1978,20.394
Chile,CHL,1979,20.95
Chile,CHL,1980,22.156
Chile,CHL,1981,22.944
Chile,CHL,1982,25.142
Chile,CHL,1983,27.281
Chile,CHL,1984,28.267
Chile,CHL,1985,31.292
Chile,CHL,1986,33.639
Chile,CHL,1987,36.372
Chile,CHL,1988,35.792
Chile,CHL,1989,30.178
Chile,CHL,1990,27.512
Chile,CHL,1991,39.357
Chile,CHL,1992,51.342
Chile,CHL,1993,52.687
Chile,CHL,1994,52.143
Chile,CHL,1995,56.369
Chile,CHL,1996,51.699
Chile,CHL,1997,57.462
Chile,CHL,1998,47.495
Chile,CHL,1999,41.742
Chile,CHL,2000,56.822
Chile,CHL,2001,64.495
Chile,CHL,2002,68.48
Chile,CHL,2003,66.216
Chile,CHL,2004,62.276
Chile,CHL,2005,73.629
Chile,CHL,2006,79.261
Chile,CHL,2007,66.518
Chile,CHL,2008,73.629
Chile,CHL,2009,75.162
Chile,CHL,2010,66.481
Chile,CHL,2011,65.207
Chile,CHL,2012,68.397
Chile,CHL,2013,70.036
Chile,CHL,2014,76.186
Chile,CHL,2015,82.628
Chile,CHL,2016,79.002
Chile,CHL,2017,90.741
Chile,CHL,2018,102.474
Chile,CHL,2019,105.104
China,CHN,1965,61.381
China,CHN,1966,62.461
China,CHN,1967,53.843
China,CHN,1968,63.529
China,CHN,1969,64.609
China,CHN,1970,66.77
China,CHN,1971,80.765
China,CHN,1972,91.531
China,CHN,1973,102.297
China,CHN,1974,115.764
China,CHN,1975,121.141
China,CHN,1976,122.761
China,CHN,1977,128.15
China,CHN,1978,120.073
China,CHN,1979,134.878
China,CHN,1980,161.726
China,CHN,1981,181.981
China,CHN,1982,206.705
China,CHN,1983,240.047
China,CHN,1984,241.152
China,CHN,1985,256.632
China,CHN,1986,262.635
China,CHN,1987,277.845
China,CHN,1988,303.245
China,CHN,1989,328.914
China,CHN,1990,352.256
China,CHN,1991,346.567
China,CHN,1992,363.704
China,CHN,1993,422.721
China,CHN,1994,467.439
China,CHN,1995,539.493
China,CHN,1996,526.684
China,CHN,1997,552.531
China,CHN,1998,560.388
China,CHN,1999,554.419
China,CHN,2000,626.553
China,CHN,2001,774.807
China,CHN,2002,799.449
China,CHN,2003,784.264
China,CHN,2004,973.111
China,CHN,2005,1096.047
China,CHN,2006,1204.585
China,CHN,2007,1343.628
China,CHN,2008,1772.014
China,CHN,2009,1760.829
China,CHN,2010,2068.34
China,CHN,2011,2074.6
China,CHN,2012,2599.127
China,CHN,2013,2827.693
China,CHN,2014,3318.602
China,CHN,2015,3548.226
China,CHN,2016,3855.695
China,CHN,2017,4194.58
China,CHN,2018,4592.223
China,CHN,2019,4984.982
Colombia,COL,1965,9.844
Colombia,COL,1966,10.937
Colombia,COL,1967,12.192
Colombia,COL,1968,13.586
Colombia,COL,1969,15.105
Colombia,COL,1970,16.813
Colombia,COL,1971,17.843
Colombia,COL,1972,19.764
Colombia,COL,1973,21.509
Colombia,COL,1974,24.422
Colombia,COL,1975,27.559
Colombia,COL,1976,28.968
Colombia,COL,1977,29.566
Colombia,COL,1978,34.104
Colombia,COL,1979,37.431
Colombia,COL,1980,40.761
Colombia,COL,1981,40.215
Colombia,COL,1982,42.971
Colombia,COL,1983,43.333
Colombia,COL,1984,48.32
Colombia,COL,1985,51.966
Colombia,COL,1986,59.997
Colombia,COL,1987,65.321
Colombia,COL,1988,68.871
Colombia,COL,1989,75.156
Colombia,COL,1990,77.139
Colombia,COL,1991,77.764
Colombia,COL,1992,62.835
Colombia,COL,1993,78.459
Colombia,COL,1994,90.284
Colombia,COL,1995,90.185
Colombia,COL,1996,99.399
Colombia,COL,1997,88.774
Colombia,COL,1998,86.983
Colombia,COL,1999,94.882
Colombia,COL,2000,86.982
Colombia,COL,2001,88.674
Colombia,COL,2002,94.497
Colombia,COL,2003,99.923
Colombia,COL,2004,105.186
Colombia,COL,2005,107.019
Colombia,COL,2006,115.39
Colombia,COL,2007,119.09
Colombia,COL,2008,123.472
Colombia,COL,2009,110.103
Colombia,COL,2010,109.036
Colombia,COL,2011,129.541
Colombia,COL,2012,126.874
Colombia,COL,2013,117.559
Colombia,COL,2014,118.838
Colombia,COL,2015,118.24
Colombia,COL,2016,123.199
Colombia,COL,2017,148.726
Colombia,COL,2018,146.614
Colombia,COL,2019,133.554
Croatia,HRV,1990,10.569
Croatia,HRV,1991,16.336
Croatia,HRV,1992,12.097
Croatia,HRV,1993,12.692
Croatia,HRV,1994,15.114
Croatia,HRV,1995,15.8
Croatia,HRV,1996,21.869
Croatia,HRV,1997,16.264
Croatia,HRV,1998,16.742
Croatia,HRV,1999,20.358
Croatia,HRV,2000,17.928
Croatia,HRV,2001,19.818
Croatia,HRV,2002,16.043
Croatia,HRV,2003,14.87
Croatia,HRV,2004,20.663
Croatia,HRV,2005,18.991
Croatia,HRV,2006,17.767
Croatia,HRV,2007,12.596
Croatia,HRV,2008,15.421
Croatia,HRV,2009,19.645
Croatia,HRV,2010,24.243
Croatia,HRV,2011,13.706
Croatia,HRV,2012,13.554
Croatia,HRV,2013,23.747
Croatia,HRV,2014,25.289
Croatia,HRV,2015,18.999
Croatia,HRV,2016,21.034
Croatia,HRV,2017,17.789
Croatia,HRV,2018,24.31
Croatia,HRV,2019,20.343
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.002
Cyprus,CYP,2005,0.002
Cyprus,CYP,2006,0.004
Cyprus,CYP,2007,0.009
Cyprus,CYP,2008,0.041
Cyprus,CYP,2009,0.082
Cyprus,CYP,2010,0.19
Cyprus,CYP,2011,0.461
Cyprus,CYP,2012,0.662
Cyprus,CYP,2013,0.837
Cyprus,CYP,2014,0.809
Cyprus,CYP,2015,1.011
Cyprus,CYP,2016,1.068
Cyprus,CYP,2017,1.088
Cyprus,CYP,2018,1.153
Cyprus,CYP,2019,1.272
Czechia,CZE,1965,6.199
Czechia,CZE,1966,5.843
Czechia,CZE,1967,5.266
Czechia,CZE,1968,4.076
Czechia,CZE,1969,3.327
Czechia,CZE,1970,4.751
Czechia,CZE,1971,3.356
Czechia,CZE,1972,3.511
Czechia,CZE,1973,3.003
Czechia,CZE,1974,5.053
Czechia,CZE,1975,5.039
Czechia,CZE,1976,4.017
Czechia,CZE,1977,5.464
Czechia,CZE,1978,5.083
Czechia,CZE,1979,6.369
Czechia,CZE,1980,6.664
Czechia,CZE,1981,5.725
Czechia,CZE,1982,4.639
Czechia,CZE,1983,4.597
Czechia,CZE,1984,3.606
Czechia,CZE,1985,4.642
Czechia,CZE,1986,5.211
